AZN.L,HSBA.L,RMV.L
1336.299927,327.811646,26.657267
1337.350952,324.442047,25.314375
1362.573975,330.603577,25.334429
1356.267944,332.336426,27.599285
1346.284302,334.646942,28.380978
1368.879883,328.774414,26.055971
1376.236328,329.833374,25.574944
1373.609375,328.196747,25.655109
1385.695068,330.314728,24.512661
1368.879883,316.162506,23.490461
1353.11499,322.692383,23.650803
1345.233154,314.115875,25.013735
1393.051758,322.399994,25.655109
1394.62854,325.713623,23.871283
1390.950562,326.29837,25.655109
1413.020264,334.290222,25.374517
1415.122437,337.408905,24.773216
1437.717896,338.675873,25.374517
1453.482178,345.985565,25.835497
1414.59668,344.52356,25.755335
1378.86438,333.315521,25.494768
1368.879883,329.22226,25.174078
1370.982056,348.519653,25.875591
1380.96582,353.294983,25.474731
1388.322754,351.833038,25.879406
1348.386475,344.328674,24.11904
1343.131348,344.328674,24.645128
1316.331787,333.120667,23.977402
1282.700928,327.370361,24.7463
1290.057617,312.26413,24.28091
1269.03833,310.314911,24.989107
1298.465332,358.460419,24.442791
1324.739502,337.798767,23.835762
1333.147217,340.917542,22.581249
1292.685181,337.408905,23.087103
1331.570923,343.451416,22.662188
1322.637451,342.671631,22.257502
1277.971313,337.213898,20.578072
1292.685181,351.248413,20.517372
1327.892578,359.53241,21.205332
1332.096313,355.439178,20.537603
1342.606079,361.676575,20.638783
1277.971313,343.84137,19.424732
1293.735718,351.248413,19.181919
1205.455078,342.379303,19.262857
1169.197021,335.264771,18.87841
1090.374634,307.9758,18.777243
1164.467651,331.073975,20.922054
1209.133423,334.874939,20.4769
1160.263672,313.238708,17.785767
1164.99292,300.763702,17.401321
1225.94873,310.607239,17.927408
1241.187988,327.467957,17.644131
1205.980713,315.772644,17.806005
1224.372314,310.314911,17.745296
1258.528809,313.823456,16.187273
1214.388306,271.330566,16.207516
1250.121338,258.465729,14.66972
1234.356567,264.41098,14.265033
1273.24231,292.38208,14.973228
1339.978394,304.077332,15.843296
1382.017212,297.060242,15.580256
1420.902466,299.009308,16.187273
1449.278564,307.9758,17.806005
1392.001221,302.128235,17.239447
1363.099609,289.848083,16.328911
1410.392944,291.017609,16.187273
1455.584106,286.729462,15.843296
1437.717896,271.525482,14.811353
1466.094238,272.889984,14.973228
1490.791748,271.135712,14.588781
1517.591675,280.296967,14.973228
1476.60376,276.300995,14.568547
1473.97644,275.229095,14.406675
1314.229736,254.541138,14.568547
1292.159546,250.771652,14.224569
1179.706665,248.390869,14.001994
1298.990845,257.913849,14.892288
1244.866333,273.686218,15.276737
1252.748657,279.340515,14.973228
1220.168457,280.034943,14.973228
1284.802856,283.705261,15.398147
1271.666016,277.753357,15.094634
1300.567749,273.78537,15.418383
1370.456421,276.959869,15.135101
1357.319458,281.523041,13.961526
1347.860596,281.721344,13.961526
1418.801025,297.295319,13.860355
1412.494995,300.866455,14.568547
1386.746338,302.652069,14.568547
1379.389648,297.592926,14.892288
1367.829102,290.847504,13.212865
1333.672729,287.276337,12.949819
1362.573975,283.705261,13.516377
1377.81311,266.64328,13.597311
1419.851685,248.093231,13.475909
1437.717896,243.133438,13.759184
1418.801025,242.934998,13.3545
1424.581055,246.010178,13.53661
1380.440552,247.994125,13.981759
1447.17688,251.96199,13.981759
1444.02356,257.517059,14.082931
1475.027466,262.675385,14.244802
1468.195679,270.611115,14.811353
1418.275391,269.420776,15.317208
1467.145142,260.989044,15.78259
1448.227295,255.136353,15.863534
1435.615845,254.04512,15.418383
